Jurisdiction,Week of Allocations,1st Dose Allocations,2nd Dose Allocations
Connecticut,4/26/2021,40400,40400
Maine,4/26/2021,15400,15400
Massachusetts,4/26/2021,77700,77700
New Hampshire,4/26/2021,15500,15500
Rhode Island,4/26/2021,12100,12100
Vermont,4/26/2021,7300,7300
New Jersey,4/26/2021,98500,98500
New York,4/26/2021,125400,125400
Delaware,4/26/2021,10700,10700
District of Columbia,4/26/2021,8100,8100
Maryland,4/26/2021,66500,66500
Pennsylvania,4/26/2021,126700,126700
Philadelphia,4/26/2021,17600,17600
Virginia,4/26/2021,93300,93300
West Virginia,4/26/2021,20800,20800
Alabama,4/26/2021,53700,53700
Florida,4/26/2021,234500,234500
Georgia,4/26/2021,111100,111100
Kentucky,4/26/2021,48900,48900
Mississippi,4/26/2021,32400,32400
North Carolina,4/26/2021,112100,112100
South Carolina,4/26/2021,55000,55000
Tennessee,4/26/2021,73400,73400
Chicago,4/26/2021,29900,29900
Illinois,4/26/2021,111300,111300
Indiana,4/26/2021,72200,72200
Michigan,4/26/2021,110600,110600
Minnesota,4/26/2021,60600,60600
Ohio,4/26/2021,128600,128600
Wisconsin,4/26/2021,64400,64400
Arkansas,4/26/2021,32600,32600
Louisiana,4/26/2021,50700,50700
New Mexico,4/26/2021,23100,23100
Oklahoma,4/26/2021,42200,42200
Texas,4/26/2021,293500,293500
Iowa,4/26/2021,34300,34300
Kansas,4/26/2021,31300,31300
Missouri,4/26/2021,67100,67100
Nebraska,4/26/2021,20700,20700
Colorado,4/26/2021,60900,60900
Montana,4/26/2021,11700,11700
North Dakota,4/26/2021,8500,8500
South Dakota,4/26/2021,9300,9300
Utah,4/26/2021,30500,30500
Wyoming,4/26/2021,6400,6400
Arizona,4/26/2021,76200,76200
California,4/26/2021,428600,428600
Hawaii,4/26/2021,15900,15900
Nevada,4/26/2021,32100,32100
Palau,4/26/2021,0,0
Alaska,4/26/2021,0,0
Idaho,4/26/2021,17800,17800
Oregon,4/26/2021,46000,46000
Washington,4/26/2021,81700,81700
Federal Entities,4/26/2021,161100,161100
Connecticut,4/19/2021,40400,40400
Maine,4/19/2021,15400,15400
Massachusetts,4/19/2021,77700,77700
New Hampshire,4/19/2021,15500,15500
Rhode Island,4/19/2021,12100,12100
Vermont,4/19/2021,7300,7300
New Jersey,4/19/2021,98500,98500
New York,4/19/2021,125400,125400
New York City,4/19/2021,95200,95200
Puerto Rico,4/19/2021,38500,38500
U.S. Virgin Islands,4/19/2021,1200,1200
Delaware,4/19/2021,10700,10700
District of Columbia,4/19/2021,8100,8100
Maryland,4/19/2021,66500,66500
Pennsylvania,4/19/2021,126700,126700
Philadelphia,4/19/2021,17600,17600
Virginia,4/19/2021,93300,93300
West Virginia,4/19/2021,20800,20800
Alabama,4/19/2021,53700,53700
