State,Country,Confirmed,Deaths,Recovered,Latitude,Longitude,Continent
,Afghanistan,22,0,1,33.9391,67.71,Asia
,Albania,55,1,0,41.1533,20.1683,Europe
,Algeria,60,4,12,28.0339,1.6596,Africa
,Andorra,39,0,1,42.5063,1.5218,Europe
,Antigua and Barbuda,1,0,0,17.0608,-61.7964,North America
,Argentina,68,2,3,-38.4161,-63.6167,South America
,Armenia,78,0,1,40.0691,45.0382,Asia
,Aruba,3,0,0,12.5211,-69.9683,North America
New South Wales,Australia,210,4,4,-33.8688,151.2093,Oceania
Victoria,Australia,94,0,8,-37.8136,144.9631,Oceania
Queensland,Australia,78,0,8,-28.0167,153.4,Oceania
Western Australia,Australia,31,1,0,-31.9505,115.8605,Oceania
South Australia,Australia,29,0,3,-34.9285,138.6007,Oceania
Tasmania,Australia,7,0,0,-41.4545,145.9707,Oceania
Australian Capital Territory,Australia,2,0,0,-35.4735,149.0124,Oceania
Northern Territory,Australia,1,0,0,-12.4634,130.8456,Oceania
From Diamond Princess,Australia,0,0,0,35.4437,139.638,Oceania
,Austria,1332,3,1,47.5162,14.5501,Europe
,Azerbaijan,28,1,6,40.1431,47.5769,Asia
,Bahrain,228,1,81,26.0667,50.5577,Asia
,Bangladesh,10,0,3,23.685,90.3563,Asia
,Barbados,2,0,0,13.1939,-59.5432,North America
,Belarus,36,0,3,53.7098,27.9534,Europe
,Belgium,1243,10,1,50.5039,4.4699,Europe
,Benin,1,0,0,9.3077,2.3158,Africa
,Bhutan,1,0,0,27.5142,90.4336,Asia
,Bolivia,11,0,0,-16.2902,-63.5887,South America
,Bosnia and Herzegovina,26,0,2,43.9159,17.6791,Europe
,Brazil,321,1,2,-14.235,-51.9253,South America
,Brunei,56,0,0,4.5353,114.7277,Asia
,Bulgaria,67,2,0,42.7339,25.4858,Europe
,Burkina Faso,15,0,0,12.2383,-1.5616,Africa
,Cambodia,33,0,1,12.5657,104.991,Asia
,Cameroon,10,0,0,3.848,11.5021,Africa
Ontario,Canada,185,1,5,51.2538,-85.3232,North America
British Columbia,Canada,103,4,4,53.7267,-127.6476,North America
Alberta,Canada,74,0,0,53.9333,-116.5765,North America
Quebec,Canada,74,0,0,52.9399,-73.5491,North America
Grand Princess,Canada,8,0,0,37.6489,-122.6655,North America
Manitoba,Canada,8,0,0,53.7609,-98.8139,North America
New Brunswick,Canada,8,0,0,46.5653,-66.4619,North America
Nova Scotia,Canada,7,0,0,44.682,-63.7443,North America
Saskatchewan,Canada,7,0,0,52.9399,-106.4509,North America
Newfoundland and Labrador,Canada,3,0,0,53.1355,-57.6604,North America
Prince Edward Island,Canada,1,0,0,46.5107,-63.4168,North America
,Central African Republic,1,0,0,6.6111,20.9394,Africa
,Chile,201,0,0,-35.6751,-71.543,South America
Hubei,China,67799,3111,56003,30.9756,112.2707,Asia
Guangdong,China,1364,8,1307,23.3417,113.4244,Asia
Henan,China,1273,22,1250,33.882,113.614,Asia
Zhejiang,China,1232,1,1216,29.1832,120.0934,Asia
Hunan,China,1018,4,1014,27.6104,111.7088,Asia
Anhui,China,990,6,984,31.8257,117.2264,Asia
Jiangxi,China,935,1,934,27.614,115.7221,Asia
Shandong,China,761,7,746,36.3427,118.1498,Asia
Jiangsu,China,631,0,631,32.9711,119.455,Asia
Chongqing,China,576,6,570,30.0572,107.874,Asia
Sichuan,China,540,3,520,30.6171,102.7103,Asia
