COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Aruba,ABW,AMRO,REPORTING,2021-04-16,48254,36112,45.196,33.824,Pfizer BioNTech - Comirnaty,2021-02-17,1
Ukraine,UKR,EURO,REPORTING,2021-04-18,450651,450646,1,1.03,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-10,3
Albania,ALB,EURO,REPORTING,2021-03-21,31476,24405,1.1,0.848,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty",2021-01-13,2
Austria,AUT,EURO,REPORTING,2021-04-18,2486976,1764768,27.9,19.826,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,3
Bulgaria,BGR,EURO,REPORTING,2021-04-18,638447,509905,9.2,7.335,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
Israel,ISR,EURO,REPORTING,2021-04-18,10312506,5348101,119.1,61.788,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-16,2
Afghanistan,AFG,EMRO,REPORTING,2021-04-22,250169,,0.643,,"Beijing CNBG - Inactivated,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-22,3
Saudi Arabia,SAU,EMRO,REPORTING,2021-04-18,7074559,,20.321,,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-01-06,3
Djibouti,DJI,EMRO,REPORTING,2021-04-21,11343,,1.148,,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,SII - Covishield",2021-03-15,3
Iraq,IRQ,EMRO,REPORTING,2021-04-19,190264,,0.473,,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",2021-03-02,4
Antigua and Barbuda,ATG,AMRO,REPORTING,2021-04-16,28027,28027,28.62,28.62,"AstraZeneca - AZD1222,SII - Covishield",2021-02-19,2
